"CampaignRepositoryContentID","IsDeleted","CampaignContentID","RepositoryContentName","Size","IsTrash","FullPath","CampaignContentTypeID","CampaignContentTypeIdentifier","AuditCreatedDate","AuditLastUpdatedDate"
"14342","False","11615","Avaliação de Reação - GNEC ","0","True","/","2021","ReactionSurvey::ReactionSurveyContent","25/03/2021 16:25:34","25/03/2021 16:25:34"
"14443","False","11716","Avaliação de reação EAD","0","False","/EDUCACAO CORPORATIVA/AMIL GNEC/Avaliacao de reacao","2021","ReactionSurvey::ReactionSurveyContent","26/03/2021 10:32:52","26/03/2021 10:32:52"
"14544","False","11817","Avaliação de Reação Completa GNEC","0","False","/EDUCACAO CORPORATIVA/AMIL GNEC/AVALIACAO DE REACAO - GNEC","2021","ReactionSurvey::ReactionSurveyContent","26/03/2021 10:45:04","26/04/2022 13:48:18"
"14645","False","11918","Queremos ouvir você!","0","True","/","2021","ReactionSurvey::ReactionSurveyContent","10/04/2021 18:19:15","10/04/2021 18:19:15"
"14646","False","11919","Deixe sua opinião","0","True","/","2021","ReactionSurvey::ReactionSurveyContent","10/04/2021 18:20:18","10/04/2021 18:20:18"
"14647","False","11920","Nos envie seu feedback","0","True","/","2021","ReactionSurvey::ReactionSurveyContent","10/04/2021 18:32:26","10/04/2021 18:33:56"
"14648","False","11921","Deixe seu comentário","0","True","/","2021","ReactionSurvey::ReactionSurveyContent","10/04/2021 18:43:19","10/04/2021 18:44:15"
"14746","False","12019","Avaliação de Reação - Projeto WP7 Release 2","0","False","/OPERACOES E CUSTOMER SERVICE /CALL CENTER - 2022/CALL CENTER/2021_2020 Tambore /2021/EAD WP7 RELEASE 2","2021","ReactionSurvey::ReactionSurveyContent","14/04/2021 19:18:31","14/04/2021 19:33:39"
"14847","False","12120","Avaliação de Reação Performance de Valor 2022  - EAD","0","False","/Performance de Valor/Avaliacao de Reacao","2021","ReactionSurvey::ReactionSurveyContent","15/04/2021 07:39:50","03/01/2022 11:55:47"
"14948","False","12221","Avaliação de Reação Performance de Valor 2022  - PRESENCIAL","0","False","/Performance de Valor/Avaliacao de Reacao","2021","ReactionSurvey::ReactionSurveyContent","15/04/2021 15:22:40","01/11/2022 14:03:33"
"14949","False","12222","Pesquisa de Opinião aos Avaliadores (abril de 2021)","0","False","/EDUCACAO CORPORATIVA/AMIL GNEC/CURSOS PRESENCIAIS - GNEC/PROGRAMA FORMACAO DE AVALIADORES INTERNOS UHG","2021","ReactionSurvey::ReactionSurveyContent","15/04/2021 16:49:10","15/04/2021 16:49:10"
"15049","False","12322","Formulário de inscrição - Idiomas Online Voxy","0","False","/home/s/i/simone_siolin","2021","ReactionSurvey::ReactionSurveyContent","20/04/2021 13:12:46","20/04/2021 13:12:46"
"15050","False","12323","Formulário Incentivo Educacional ","0","False","/home/s/i/simone_siolin","2021","ReactionSurvey::ReactionSurveyContent","20/04/2021 17:05:12","20/04/2021 17:19:08"
"15150","False","12423","Formulário de inscrição - Idiomas Online Voxy","0","False","/home/s/i/simone_siolin","2021","ReactionSurvey::ReactionSurveyContent","20/04/2021 14:12:26","20/04/2021 14:12:26"
"15151","False","12424","Formulário de inscrição - Idiomas ","0","False","/home/s/i/simone_siolin","2021","ReactionSurvey::ReactionSurveyContent","20/04/2021 14:48:47","20/04/2021 14:48:47"
"15152","False","12425","Formulário de inscrição - Idiomas ","0","False","/home/s/i/simone_siolin","2021","ReactionSurvey::ReactionSurveyContent","20/04/2021 15:19:13","20/04/2021 15:19:13"
"15251","False","12524","Formulário de inscrição - Idiomas Online Voxy","0","False","/home/s/i/simone_siolin","2021","ReactionSurvey::ReactionSurveyContent","20/04/2021 14:12:33","20/04/2021 14:33:41"
"15352","False","12625","Avaliação de Reação","0","False","/EDUCACAO CORPORATIVA/EDUCACAO CORPORATIVA AMIL /Academia da Saude Amil/Academia da Saude - Assistencial/Guta","2021","ReactionSurvey::ReactionSurveyContent","02/06/2021 08:55:02","02/06/2021 14:08:37"
"15453","False","12726","Formulário de inscrição - Idiomas","0","False","/home/s/i/simone_siolin","2021","ReactionSurvey::ReactionSurveyContent","08/06/2021 10:27:55","08/06/2021 10:27:55"
"15454","False","12727","Formulário de inscrição - Idiomas ","0","False","/home/s/i/simone_siolin","2021","ReactionSurvey::ReactionSurveyContent","08/06/2021 15:25:19","08/06/2021 15:55:36"
"15554","False","12827","Formulário de inscrição - Idiomas ","0","False","/home/s/i/simone_siolin","2021","ReactionSurvey::ReactionSurveyContent","08/06/2021 11:00:16","08/06/2021 11:00:16"
"15655","False","12928","Formulário Incentivo Educacional","0","False","/home/s/i/simone_siolin","2021","ReactionSurvey::ReactionSurveyContent","08/06/2021 18:13:05","08/06/2021 18:13:05"
"15756","False","13029","Presença","0","False","/home/m/a/mariane_lucia","2021","ReactionSurvey::ReactionSurveyContent","09/06/2021 09:57:31","09/06/2021 09:57:31"
"15757","False","13030","Presença","0","False","/home/m/a/mariane_lucia","2021","ReactionSurvey::ReactionSurveyContent","09/06/2021 09:57:34","09/06/2021 09:57:38"
"15857","False","13130","Avaliação de Reação","0","False","/EDUCACAO CORPORATIVA/EDUCACAO CORPORATIVA AMIL /Academia da Saude Amil/Academia da Saude - Assistencial/Priscila de Oliveira Machado","2021","ReactionSurvey::ReactionSurveyContent","17/06/2021 10:15:51","17/06/2021 10:15:51"
"15958","False","13231","Avaliação de Reação 2021 (EAD)","0","True","/","2021","ReactionSurvey::ReactionSurveyContent","22/06/2021 22:09:20","22/06/2021 22:09:20"
"16059","False","13332","Deixe seu Feedback para Universidade de Vendas Amil","0","True","/","2021","ReactionSurvey::ReactionSurveyContent","20/07/2021 20:44:51","20/07/2021 20:47:03"
"16160","False","13433","Formulário de inscrição - Idiomas Online Voxy 3° entrada","0","False","/home/s/i/simone_siolin","2021","ReactionSurvey::ReactionSurveyContent","27/07/2021 12:14:02","27/07/2021 12:14:02"
"16261","False","13534","Avaliação de reação - Novas condutas de autorização prévia ","0","False","/OPERACOES E CUSTOMER SERVICE /CALL CENTER - 2022/CALL CENTER/2021_2020 Tambore /2021","2021","ReactionSurvey::ReactionSurveyContent","13/08/2021 13:13:35","13/08/2021 13:19:12"
"16362","False","13635","Avaliação de Reação - Treinamento Estratégico","0","True","/","2021","ReactionSurvey::ReactionSurveyContent","20/08/2021 14:22:11","20/08/2021 14:22:11"
"16463","False","13736","Avaliação de Reação - Treinamento Estratégico","0","True","/","2021","ReactionSurvey::ReactionSurveyContent","20/08/2021 14:22:14","20/08/2021 14:22:14"
